variable,etiqueta,base,codigos
f_01,Familiares que se emborrachan frecuentemente,Todas las personas seleccionadas,"{1: 'Sí', 2: 'No'}"
f_01_cual,Cantidad de familiares (categoría),F_01 = 1,"{1: 'Uno', 2: 'Dos o más'}"
f_02,Amigos que se emborrachan frecuentemente,Todas las personas seleccionadas,"{1: 'Sí', 2: 'No'}"
f_02_cual,Cantidad de amigos (categoría),F_02 = 1,"{1: 'Uno', 2: 'Dos o más'}"
f_03,Consumo de alcohol alguna vez,Todas las personas seleccionadas,"{1: 'Sí', 2: 'No'}"
f_04,Edad de inicio del consumo,Consumo alguna vez: F_03 = 1,Numérica: ver regla de validez
f_05,Recencia del primer consumo,Consumo alguna vez: F_03 = 1,"{1: 'Últimos 30 días', 2: 'Más de 30 días y menos de 12 meses', 3: 'Hace más de 12 meses'}"
f_06,Consumo en últimos 12 meses,Consumo alguna vez: F_03 = 1,"{1: 'Sí', 2: 'No'}"
f_07,Consumo en últimos 30 días,Consumo 12 meses: F_06 = 1,"{1: 'Sí', 2: 'No'}"
f_08,Días de consumo en últimos 30 días,Consumo 30 días: F_07 = 1,Numérica: ver regla de validez
f_09,Días de embriaguez en últimos 30 días,Consumo 30 días: F_07 = 1,Numérica: ver regla de validez
f_10_a,Cerveza,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_b,Aguardiente,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_c,Ron,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_d,Whisky,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_e,"Brandy, coñac, vodka, ginebra",Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_f,Vino,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_g,"Chicha, guarapo, chirrinchi",Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_h,Alcohol industrial o medicinal mezclado,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_10_i,Otra bebida,Consumo 30 días: F_07 = 1,"{1: 'Diariamente', 2: 'Fines de semana', 3: 'Algunos días de la semana', 4: 'No en últimos 30 días', 5: 'Nunca'}"
f_11,Consumo por vía distinta a la oral,Consumo 12 meses: F_06 = 1,"{1: 'Sí', 2: 'No'}"
f_12,Frecuencia de consumo en 12 meses,Consumo 12 meses: F_06 = 1,"{1: 'Una vez al mes', 2: '2 a 4 veces al mes', 3: '2 a 3 veces por semana', 4: '4 o más veces por semana'}"
f_13,Tragos en un día habitual (categoría),Consumo 12 meses: F_06 = 1,"{1: '1 o 2', 2: '3 o 4', 3: '5 o 6', 4: '7, 8 o 9', 5: '10 o más'}"
f_14,Seis o más tragos en un día,Consumo 12 meses: F_06 = 1,"{1: 'Nunca', 2: 'Menos de una vez al mes', 3: 'Mensualmente', 4: 'Semanalmente', 5: 'A diario o casi a diario'}"
f_15,Imposibilidad de parar de beber,F_14 = 2–5; base observada de respuesta,"{1: 'Nunca', 2: 'Menos de una vez al mes', 3: 'Mensualmente', 4: 'Semanalmente', 5: 'A diario o casi a diario'}"
f_16,Incumplimiento de actividades por beber,F_14 = 2–5; base observada de respuesta,"{1: 'Nunca', 2: 'Menos de una vez al mes', 3: 'Mensualmente', 4: 'Semanalmente', 5: 'A diario o casi a diario'}"
f_17,Necesidad de beber en ayunas,F_14 = 2–5; base observada de respuesta,"{1: 'Nunca', 2: 'Menos de una vez al mes', 3: 'Mensualmente', 4: 'Semanalmente', 5: 'A diario o casi a diario'}"
f_18,Culpa o remordimientos,F_14 = 2–5; base observada de respuesta,"{1: 'Nunca', 2: 'Menos de una vez al mes', 3: 'Mensualmente', 4: 'Semanalmente', 5: 'A diario o casi a diario'}"
f_19,No recordar la noche anterior,F_14 = 2–5; base observada de respuesta,"{1: 'Nunca', 2: 'Menos de una vez al mes', 3: 'Mensualmente', 4: 'Semanalmente', 5: 'A diario o casi a diario'}"
f_20,Lesiones propias o a terceros,Consumo 12 meses: F_06 = 1,"{1: 'Sí', 2: 'No'}"
f_21,Preocupación de otras personas,Consumo 12 meses: F_06 = 1,"{1: 'Sí', 2: 'No'}"
f_20_cual,Recencia de las lesiones,F_20 = 1,"{1: 'Últimos 12 meses', 2: 'Hace más de 12 meses'}"
f_21_cual,Recencia de la preocupación,F_21 = 1,"{1: 'Últimos 12 meses', 2: 'Hace más de 12 meses'}"
d_11_b,Riesgo percibido del consumo frecuente,Todas las personas seleccionadas,"{1: 'Ningún riesgo', 2: 'Riesgo leve', 3: 'Riesgo moderado', 4: 'Gran riesgo', 5: 'No sabe qué riesgo corre'}"
d_12_a,Alcohol como problema en el barrio,Todas las personas seleccionadas,"{1: 'Sí', 2: 'No'}"
d_12_a_a,Gravedad del problema en el barrio,D_12_A = 1,"{1: 'Grave', 2: 'Leve'}"
r_08_b,Alcohol en horario laboral,Registros con respuesta en R_01; aproximación al módulo laboral,"{1: 'Sí', 2: 'No'}"
r_02,Alcohol u otras sustancias antes del accidente,Accidente laboral: R_01 = 1,"{1: 'Sí', 2: 'No'}"
r_04,Ausencia por alcohol u otras sustancias,Ausencia laboral: R_03 > 0,"{1: 'Sí', 2: 'No'}"
r_09,Menor rendimiento por alcohol u otras sustancias,Registros con respuesta en R_01; aproximación al módulo laboral,"{1: 'Sí', 2: 'No'}"
s_02_b,Alcohol durante algún embarazo,Ha estado o está embarazada: S_01 = 1,"{1: 'Sí', 2: 'No'}"
s_02_b_01,Frecuencia de alcohol durante el embarazo,Alcohol durante embarazo: S_02_B = 1,"{1: 'Al menos semanal', 2: 'Al menos mensual', 3: 'Al menos una vez en el embarazo'}"
