indicador,presente,n,media_inicio,mediana_inicio,media_ponderada,peso_denominador
Binge mensual o más,False,22219,17.601152167064225,17.0,17.327130135081624,11083975.69348659
Binge mensual o más,True,4144,16.481177606177607,16.0,16.30536140627207,1868638.186719948
Señales de dependencia (proxy),False,11071,16.939933158702917,17.0,16.756683641575613,5363799.195309236
Señales de dependencia (proxy),True,627,16.1451355661882,16.0,15.93979146743523,253418.27467702096
Lesiones por consumo,False,25373,17.486028455444764,17.0,17.238143284412686,12451576.424605895
Lesiones por consumo,True,990,15.863636363636363,16.0,15.727869473421173,501037.4556006435
Preocupación de otros,False,24564,17.50936329588015,17.0,17.251483056761355,12143469.639959399
Preocupación de otros,True,1799,16.274596998332406,16.0,16.102752556352964,809144.2402471388
Inicio temprano (≤14),False,37110,18.934869307464297,18.0,18.651750893842642,17087391.055952378
Inicio temprano (≤14),True,5331,12.483398987056837,13.0,12.511272390498325,2853980.6034794264
Problema laboral (alcohol u otras),False,1525,17.231475409836065,17.0,17.051471302593782,728988.7911517674
Problema laboral (alcohol u otras),True,884,16.23076923076923,16.0,16.37261387608398,421159.3999351247
Alcohol en horario laboral,False,16540,17.487243047158405,17.0,17.353983345573862,7938056.008314386
Alcohol en horario laboral,True,801,16.16354556803995,16.0,16.295119696202182,387219.13878514874
Ausencia por alcohol u otras,False,2366,17.771766694843617,18.0,17.57662684838037,1101915.2879698859
Ausencia por alcohol u otras,True,108,16.287037037037038,16.0,16.461110512324687,46269.72602801527
