codigo_original,n,porcentaje_total
18.0,8008,16.094541361845806
,7315,14.701744513224535
20.0,5549,11.152423828282016
15.0,5461,10.975560736393602
17.0,4891,9.829970254843637
16.0,4567,9.17879250743629
19.0,2450,4.924029262802476
14.0,2306,4.634616930621433
25.0,1421,2.8559369724254364
13.0,1087,2.184661146394405
22.0,1068,2.146474797009406
12.0,965,1.939464587185465
30.0,809,1.6259345606560012
21.0,641,1.288286839778117
23.0,568,1.141570865825227
24.0,348,0.6994131361041884
10.0,305,0.612991398022349
11.0,242,0.4863735026931425
28.0,211,0.4240694589597234
35.0,180,0.3617654152263044
40.0,175,0.3517163759144626
26.0,173,0.34769676018972584
27.0,159,0.3195594501165689
8.0,116,0.2331377120347295
9.0,95,0.19093174692499396
7.0,73,0.1467159739528901
3.0,64,0.12862770319157488
32.0,59,0.11857866387973309
29.0,51,0.10250020098078623
45.0,37,0.07436289090762924
38.0,36,0.07235308304526088
50.0,31,0.062304043733419086
33.0,31,0.062304043733419086
5.0,31,0.062304043733419086
6.0,26,0.052255004421577295
34.0,26,0.052255004421577295
36.0,25,0.050245196559208935
37.0,22,0.04421577297210387
31.0,17,0.03416673366026208
42.0,13,0.026127502210788647
47.0,13,0.026127502210788647
2.0,9,0.01808827076131522
1.0,7,0.014068655036578503
55.0,7,0.014068655036578503
48.0,7,0.014068655036578503
41.0,7,0.014068655036578503
49.0,6,0.012058847174210146
46.0,6,0.012058847174210146
44.0,5,0.010049039311841788
39.0,5,0.010049039311841788
4.0,5,0.010049039311841788
43.0,5,0.010049039311841788
60.0,4,0.00803923144947343
52.0,3,0.006029423587105073
56.0,3,0.006029423587105073
59.0,2,0.004019615724736715
57.0,2,0.004019615724736715
53.0,2,0.004019615724736715
51.0,2,0.004019615724736715
58.0,2,0.004019615724736715
54.0,1,0.0020098078623683575
61.0,1,0.0020098078623683575
