grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
Media,14884,8108,6776,1286,4179074.882212121,15.860878145041934,15.285695138761694,False,Binge mensual o más
Ninguno,590,175,415,27,70088.40142967287,15.428571428571427,15.234914423266254,False,Binge mensual o más
No sabe / no informa,29,10,19,2,4358.543274049671,20.0,1.4251765961448624,True,Binge mensual o más
Postgrado,2145,1439,706,173,668329.0676332442,12.02223766504517,10.022480383347904,False,Binge mensual o más
Preescolar,98,28,70,1,12724.601746133163,3.571428571428571,1.3265679308590348,True,Binge mensual o más
Primaria,6794,2499,4295,462,1136102.2001344198,18.487394957983195,18.454738764490138,False,Binge mensual o más
Secundaria,8009,3421,4588,620,1803658.4225390896,18.12335574393452,14.885871877482707,False,Binge mensual o más
Técnica / tecnológica,8453,5241,3212,795,2454443.480182522,15.168860904407556,13.870633026351294,False,Binge mensual o más
Universitaria,8754,5442,3312,778,2623834.2810552856,14.296214626975376,12.704451074290125,False,Binge mensual o más
Media,14884,3689,11195,180,1881612.3614121485,4.879371103280022,3.8610130786650076,False,Señales de dependencia (proxy)
Ninguno,590,88,502,9,29166.84371046528,10.227272727272728,13.778392502091409,False,Señales de dependencia (proxy)
No sabe / no informa,29,4,25,0,491.62019714631515,0.0,0.0,True,Señales de dependencia (proxy)
Postgrado,2145,552,1593,18,255035.4578324608,3.260869565217391,2.812409996501979,False,Señales de dependencia (proxy)
Preescolar,98,7,91,0,2457.4094152279736,0.0,0.0,True,Señales de dependencia (proxy)
Primaria,6794,1169,5625,87,523874.88783783076,7.442258340461934,6.894211516735145,False,Señales de dependencia (proxy)
Secundaria,8009,1516,6493,115,720824.2296811233,7.585751978891821,6.41387378292873,False,Señales de dependencia (proxy)
Técnica / tecnológica,8453,2313,6140,114,1077220.4554020974,4.9286640726329445,4.037463705447494,False,Señales de dependencia (proxy)
Universitaria,8754,2360,6394,104,1126534.2044977564,4.406779661016949,3.8822990165118285,False,Señales de dependencia (proxy)
Media,14884,8108,6776,296,4179074.882212121,3.6507153428712384,3.612693605458965,False,Lesiones por consumo
Ninguno,590,175,415,8,70088.40142967287,4.571428571428571,5.789611454636464,False,Lesiones por consumo
No sabe / no informa,29,10,19,0,4358.543274049671,0.0,0.0,True,Lesiones por consumo
Postgrado,2145,1439,706,43,668329.0676332442,2.9881862404447532,3.2557248034707054,False,Lesiones por consumo
Preescolar,98,28,70,1,12724.601746133163,3.571428571428571,0.10961080356321039,True,Lesiones por consumo
Primaria,6794,2499,4295,103,1136102.2001344198,4.121648659463785,4.2101151251449345,False,Lesiones por consumo
Secundaria,8009,3421,4588,163,1803658.4225390896,4.7646886875182695,3.850593159136301,False,Lesiones por consumo
Técnica / tecnológica,8453,5241,3212,193,2454443.480182522,3.6825033390574315,3.9969432135642218,False,Lesiones por consumo
Universitaria,8754,5442,3312,183,2623834.2810552856,3.3627342888643876,4.148282761629892,False,Lesiones por consumo
Media,14884,8108,6776,577,4179074.882212121,7.116428219042921,6.974109974387633,False,Preocupación de otros
Ninguno,590,175,415,18,70088.40142967287,10.285714285714285,8.96115000953757,False,Preocupación de otros
No sabe / no informa,29,10,19,0,4358.543274049671,0.0,0.0,True,Preocupación de otros
Postgrado,2145,1439,706,44,668329.0676332442,3.0576789437109104,2.8308005905475446,False,Preocupación de otros
Preescolar,98,28,70,5,12724.601746133163,17.857142857142858,8.729930200209571,True,Preocupación de otros
Primaria,6794,2499,4295,246,1136102.2001344198,9.843937575030012,9.406514596479301,False,Preocupación de otros
Secundaria,8009,3421,4588,343,1803658.4225390896,10.026308097047647,7.725531158750616,False,Preocupación de otros
Técnica / tecnológica,8453,5241,3212,317,2454443.480182522,6.048464033581378,5.376371649017926,False,Preocupación de otros
Universitaria,8754,5442,3312,249,2623834.2810552856,4.575523704520397,4.314697307854064,False,Preocupación de otros
Media,14884,12985,1899,1457,6433727.015007127,11.220639199075856,11.893512926234585,False,Inicio temprano (≤14)
Ninguno,590,454,136,81,153555.04242118396,17.841409691629956,18.5324233782487,False,Inicio temprano (≤14)
No sabe / no informa,29,25,4,3,9075.752111586826,12.0,2.3552309339894757,True,Inicio temprano (≤14)
Postgrado,2145,1988,157,220,881717.0842182357,11.066398390342053,11.804601054018274,False,Inicio temprano (≤14)
Preescolar,98,80,18,10,33627.00851873828,12.5,13.224222330801812,False,Inicio temprano (≤14)
Primaria,6794,5456,1338,687,2266245.263288851,12.591642228739003,14.481631479760251,False,Inicio temprano (≤14)
Secundaria,8009,5895,2114,1226,2965312.229143313,20.797285835453774,27.818119010083674,False,Inicio temprano (≤14)
Técnica / tecnológica,8453,7732,721,762,3529328.426222438,9.855147439213658,10.450061498558757,False,Inicio temprano (≤14)
Universitaria,8754,7826,928,885,3668783.8385003274,11.308458982877587,11.711858335904363,False,Inicio temprano (≤14)
Media,14884,690,14194,254,324472.31514907687,36.811594202898554,34.43582019639354,False,Problema laboral (alcohol u otras)
Ninguno,590,17,573,7,6658.488322082693,41.17647058823529,42.98923146568097,True,Problema laboral (alcohol u otras)
No sabe / no informa,29,0,29,0,0.0,,,True,Problema laboral (alcohol u otras)
Postgrado,2145,152,1993,44,67397.13768680976,28.947368421052634,32.51862127546991,False,Problema laboral (alcohol u otras)
