grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
1,14460,7155,7305,1431,2710356.831596153,20.0,17.392228823139394,False,Binge mensual o más
2,17380,9188,8192,1394,4813211.365312366,15.171963430561602,14.914369752175375,False,Binge mensual o más
3,12834,7014,5820,943,3888480.2360159596,13.444539492443683,12.820441280492247,False,Binge mensual o más
4,3038,1768,1270,211,917712.9930320838,11.934389140271493,11.117452631449575,False,Binge mensual o más
5,1128,705,423,100,383411.3132175865,14.184397163120568,12.917881527548559,False,Binge mensual o más
6,628,399,229,30,189702.52846288506,7.518796992481203,7.472390853852105,False,Binge mensual o más
No sabe / no responde,46,25,21,7,7053.869069082417,28.000000000000004,20.505752715708827,True,Binge mensual o más
Planta / conexión irregular,71,41,30,3,22689.58080578189,7.317073170731707,5.821586007569678,False,Binge mensual o más
Sin información,171,68,103,25,19995.1626946397,36.76470588235294,61.85834145009521,False,Binge mensual o más
1,14460,3588,10872,270,1270401.7108176704,7.5250836120401345,5.722638240797307,False,Señales de dependencia (proxy)
2,17380,4036,13344,196,2143896.8418638874,4.856293359762141,4.672189118851925,False,Señales de dependencia (proxy)
3,12834,2909,9925,128,1606231.037114663,4.4001375042970094,3.908909651805597,False,Señales de dependencia (proxy)
4,3038,680,2358,21,350544.7373978157,3.088235294117647,3.190554664620823,False,Señales de dependencia (proxy)
5,1128,290,838,5,164215.55674268637,1.7241379310344827,0.951671871375453,False,Señales de dependencia (proxy)
6,628,117,511,1,54243.96102199017,0.8547008547008548,0.3111876104057014,False,Señales de dependencia (proxy)
No sabe / no responde,46,17,29,1,4140.981090274812,5.88235294117647,6.174822850323531,True,Señales de dependencia (proxy)
Planta / conexión irregular,71,21,50,0,9557.320459084625,0.0,0.0,True,Señales de dependencia (proxy)
Sin información,171,40,131,5,13985.323478184293,12.5,32.84251593385415,False,Señales de dependencia (proxy)
1,14460,7155,7305,305,2710356.831596153,4.262753319357094,3.6966196274056293,False,Lesiones por consumo
2,17380,9188,8192,337,4813211.365312366,3.667827601218981,4.045351519246368,False,Lesiones por consumo
3,12834,7014,5820,247,3888480.2360159596,3.521528371827773,3.7544070390060447,False,Lesiones por consumo
4,3038,1768,1270,59,917712.9930320838,3.33710407239819,4.042258373857034,False,Lesiones por consumo
5,1128,705,423,28,383411.3132175865,3.9716312056737593,5.039516587756296,False,Lesiones por consumo
6,628,399,229,9,189702.52846288506,2.2556390977443606,1.2985927618512343,False,Lesiones por consumo
No sabe / no responde,46,25,21,2,7053.869069082417,8.0,3.953366938376998,True,Lesiones por consumo
Planta / conexión irregular,71,41,30,1,22689.58080578189,2.4390243902439024,2.0760019956884097,False,Lesiones por consumo
Sin información,171,68,103,2,19995.1626946397,2.941176470588235,2.567652971951352,False,Lesiones por consumo
1,14460,7155,7305,652,2710356.831596153,9.112508735150245,8.703372151459297,False,Preocupación de otros
