grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
12–17,3559,1112,2447,71,975508.7378872223,6.384892086330936,6.206284959953787,False,Binge mensual o más
18–25,8822,5765,3057,1037,2872494.871725959,17.987857762359063,16.818708622002887,False,Binge mensual o más
26–35,11341,7282,4059,1282,3409601.5013435045,17.605053556715188,17.415026068960454,False,Binge mensual o más
36–45,9252,5370,3882,779,2649577.1174989445,14.506517690875235,12.380458718564952,False,Binge mensual o más
46–55,8445,3991,4454,593,1849754.489920611,14.858431470809322,13.912787563729447,False,Binge mensual o más
56–65,8337,2843,5494,382,1195677.1618302967,13.436510728104114,12.195063387202884,False,Binge mensual o más
12–17,3559,319,3240,12,269082.9347585932,3.761755485893417,3.011197054469937,False,Señales de dependencia (proxy)
18–25,8822,2835,5987,156,1400511.1346813065,5.502645502645502,4.474506277932227,False,Señales de dependencia (proxy)
26–35,11341,3484,7857,201,1632923.9174679096,5.769230769230769,5.006250961733124,False,Señales de dependencia (proxy)
36–45,9252,2304,6948,99,1109240.1706251204,4.296875,3.7596951989688447,False,Señales de dependencia (proxy)
46–55,8445,1667,6778,94,772930.094382901,5.638872225554889,5.0630364851920655,False,Señales de dependencia (proxy)
56–65,8337,1089,7248,65,432529.21807042597,5.968778696051423,4.638680196050366,False,Señales de dependencia (proxy)
12–17,3559,1112,2447,19,975508.7378872223,1.70863309352518,1.0638176140881503,False,Lesiones por consumo
18–25,8822,5765,3057,272,2872494.871725959,4.718126626192541,4.956476280387083,False,Lesiones por consumo
26–35,11341,7282,4059,306,3409601.5013435045,4.202142268607526,4.501613737582028,False,Lesiones por consumo
36–45,9252,5370,3882,187,2649577.1174989445,3.4823091247672253,4.0978482436841235,False,Lesiones por consumo
46–55,8445,3991,4454,123,1849754.489920611,3.0819343522926586,3.0010532488272097,False,Lesiones por consumo
56–65,8337,2843,5494,83,1195677.1618302967,2.919451283855083,2.5684557384811493,False,Lesiones por consumo
12–17,3559,1112,2447,106,975508.7378872223,9.532374100719425,7.698241404913209,False,Preocupación de otros
18–25,8822,5765,3057,453,2872494.871725959,7.8577623590633126,6.83034367057882,False,Preocupación de otros
26–35,11341,7282,4059,496,3409601.5013435045,6.811315572644879,7.187682679671669,False,Preocupación de otros
36–45,9252,5370,3882,321,2649577.1174989445,5.977653631284916,4.592413672778961,False,Preocupación de otros
46–55,8445,3991,4454,236,1849754.489920611,5.913304936106239,5.536548527736255,False,Preocupación de otros
56–65,8337,2843,5494,187,1195677.1618302967,6.577558916637355,5.744235974501285,False,Preocupación de otros
12–17,3559,1642,1917,926,1413271.5162878465,56.39464068209501,56.29962350356132,False,Inicio temprano (≤14)
18–25,8822,7786,1036,1138,3828464.4270603308,14.615977395324942,14.03131413011093,False,Inicio temprano (≤14)
26–35,11341,10400,941,1243,4765268.478774071,11.951923076923077,11.886055076538835,False,Inicio temprano (≤14)
36–45,9252,8364,888,830,3978841.670619293,9.923481587757053,10.723114083409687,False,Inicio temprano (≤14)
46–55,8445,7347,1098,648,3255821.4157292265,8.819926500612494,8.974078593945354,False,Inicio temprano (≤14)
56–65,8337,6902,1435,546,2699704.1509610354,7.910750507099391,8.73770003002407,False,Inicio temprano (≤14)
12–17,3559,13,3546,6,12616.720374635664,46.15384615384615,38.174794005929265,True,Problema laboral (alcohol u otras)
18–25,8822,490,8332,166,248611.56276797602,33.87755102040816,30.107520512229744,False,Problema laboral (alcohol u otras)
26–35,11341,799,10542,292,350447.5259475158,36.545682102628284,36.550092259231704,False,Problema laboral (alcohol u otras)
36–45,9252,564,8688,186,284287.6499252322,32.97872340425532,36.60302962254267,False,Problema laboral (alcohol u otras)
46–55,8445,370,8075,152,176632.73627274152,41.08108108108108,40.418090878029055,False,Problema laboral (alcohol u otras)
56–65,8337,175,8162,84,78018.67666901069,48.0,49.24529810014015,False,Problema laboral (alcohol u otras)
12–17,3559,62,3497,6,63157.25210931857,9.67741935483871,7.626055365715685,False,Alcohol en horario laboral
18–25,8822,2793,6029,146,1387566.2928555508,5.22735409953455,4.793010217422499,False,Alcohol en horario laboral
26–35,11341,5571,5770,263,2622669.4228605395,4.7208759648178065,4.539754142761517,False,Alcohol en horario laboral
36–45,9252,4292,4960,170,2126341.560177698,3.960857409133271,4.423666786984788,False,Alcohol en horario laboral
46–55,8445,3019,5426,142,1433379.8221511482,4.703544219940378,4.8356385588411355,False,Alcohol en horario laboral
56–65,8337,1604,6733,74,692160.7969452793,4.613466334164588,4.833914489832076,False,Alcohol en horario laboral
12–17,3559,9,3550,1,9928.126355582923,11.11111111111111,20.163996630365624,True,Ausencia por alcohol u otras
18–25,8822,486,8336,28,240982.4779364355,5.761316872427984,4.85971929360386,False,Ausencia por alcohol u otras
26–35,11341,783,10558,37,344843.3969242,4.725415070242656,3.9391326720633937,False,Ausencia por alcohol u otras
36–45,9252,630,8622,20,304149.43471832183,3.1746031746031744,3.52605749391308,False,Ausencia por alcohol u otras
46–55,8445,444,8001,14,189924.45131902426,3.153153153153153,1.9760679257740112,False,Ausencia por alcohol u otras
56–65,8337,292,8045,10,115476.7627492494,3.4246575342465753,4.297028012240524,False,Ausencia por alcohol u otras
