grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
≤14,5331,3851,1480,883,2080520.299487413,22.92910932225396,20.105238247951974,False,Binge mensual o más
15–17,14919,10562,4357,1850,5343142.137045706,17.51562204128006,16.132968176463745,False,Binge mensual o más
18–24,18632,10574,8058,1292,4951197.953835664,12.218649517684888,10.98472216414875,False,Binge mensual o más
25–65,3559,1376,2183,119,577753.4898377546,8.648255813953488,7.695646131849622,False,Binge mensual o más
,7315,0,7315,0,0.0,,,True,Binge mensual o más
≤14,5331,2089,3242,161,1046383.8770521365,7.707036859741503,7.111015254353778,False,Señales de dependencia (proxy)
15–17,14919,5098,9821,275,2522305.9825073984,5.394272263632797,4.384066907254383,False,Señales de dependencia (proxy)
18–24,18632,4061,14571,172,1869165.5374952012,4.235409997537552,3.25670597677399,False,Señales de dependencia (proxy)
25–65,3559,450,3109,19,179362.07293152044,4.222222222222222,4.213237382364526,False,Señales de dependencia (proxy)
,7315,0,7315,0,0.0,,,True,Señales de dependencia (proxy)
≤14,5331,3851,1480,289,2080520.299487413,7.504544274214489,7.075121685112694,False,Lesiones por consumo
15–17,14919,10562,4357,438,5343142.137045706,4.14694186707063,4.140343889798183,False,Lesiones por consumo
18–24,18632,10574,8058,235,4951197.953835664,2.2224323813126534,2.508353820141742,False,Lesiones por consumo
25–65,3559,1376,2183,28,577753.4898377546,2.0348837209302326,1.457384657006891,False,Lesiones por consumo
,7315,0,7315,0,0.0,,,True,Lesiones por consumo
≤14,5331,3851,1480,453,2080520.299487413,11.76317839522202,10.125736867703896,False,Preocupación de otros
15–17,14919,10562,4357,781,5343142.137045706,7.394432872562015,6.9554239947762735,False,Preocupación de otros
18–24,18632,10574,8058,513,4951197.953835664,4.851522602610176,4.258489109957508,False,Preocupación de otros
25–65,3559,1376,2183,52,577753.4898377546,3.77906976744186,2.76793019368169,False,Preocupación de otros
,7315,0,7315,0,0.0,,,True,Preocupación de otros
≤14,5331,5331,0,5331,2853980.6034794264,100.0,100.0,False,Inicio temprano (≤14)
15–17,14919,14919,0,0,7332187.791824698,0.0,0.0,False,Inicio temprano (≤14)
18–24,18632,18632,0,0,8340425.819786571,0.0,0.0,False,Inicio temprano (≤14)
25–65,3559,3559,0,0,1414777.4443411068,0.0,0.0,False,Inicio temprano (≤14)
,7315,0,7315,0,0.0,,,True,Inicio temprano (≤14)
≤14,5331,452,4879,220,214553.231533946,48.67256637168141,45.35072328430003,False,Problema laboral (alcohol u otras)
15–17,14919,1015,13904,390,497523.5640486848,38.42364532019704,37.770436129221885,False,Problema laboral (alcohol u otras)
18–24,18632,853,17779,252,395066.7581389342,29.54279015240328,30.958396562502458,False,Problema laboral (alcohol u otras)
25–65,3559,89,3470,22,43004.63736532707,24.719101123595504,31.705427093134627,False,Problema laboral (alcohol u otras)
,7315,2,7313,2,466.6808702199002,100.0,100.0,True,Problema laboral (alcohol u otras)
≤14,5331,2331,3000,205,1132878.5200947328,8.794508794508795,8.197554907399114,False,Alcohol en horario laboral
15–17,14919,6839,8080,356,3356281.145707716,5.205439391723936,5.182235712446568,False,Alcohol en horario laboral
18–24,18632,7381,11251,221,3496995.7079131473,2.9941742311339925,3.088668713215948,False,Alcohol en horario laboral
25–65,3559,790,2769,19,339119.773383938,2.4050632911392404,3.6594113833665087,False,Alcohol en horario laboral
,7315,0,7315,0,0.0,,,True,Alcohol en horario laboral
≤14,5331,364,4967,28,178895.78757001477,7.6923076923076925,5.770457473649098,False,Ausencia por alcohol u otras
15–17,14919,885,14034,40,427916.4978504493,4.519774011299435,4.481347585040548,False,Ausencia por alcohol u otras
18–24,18632,1063,17569,37,470820.50081815914,3.4807149576669802,3.301720859359613,False,Ausencia por alcohol u otras
25–65,3559,162,3397,3,70552.22775927794,1.8518518518518516,1.7363255491405485,False,Ausencia por alcohol u otras
,7315,170,7145,2,57119.6360049128,1.1764705882352942,0.8170235366691789,False,Ausencia por alcohol u otras
