grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
Hombre,20898,13303,7595,2877,7232240.974013826,21.626700744193037,19.189372601681793,False,Binge mensual o más
Mujer,28858,13060,15798,1267,5720372.9061927125,9.701378254211331,8.405335222891084,False,Binge mensual o más
Hombre,20898,7238,13660,469,3767903.8837988693,6.479690522243714,5.330982336815247,False,Señales de dependencia (proxy)
Mujer,28858,4460,24398,158,1849313.5861873874,3.5426008968609866,2.841702162144962,False,Señales de dependencia (proxy)
Hombre,20898,13303,7595,656,7232240.974013826,4.931218522137864,4.929098170286981,False,Lesiones por consumo
Mujer,28858,13060,15798,334,5720372.9061927125,2.557427258805513,2.526989069598828,False,Lesiones por consumo
Hombre,20898,13303,7595,1295,7232240.974013826,9.734646320378863,8.530445981899048,False,Preocupación de otros
Mujer,28858,13060,15798,504,5720372.9061927125,3.859111791730475,3.3599528182865064,False,Preocupación de otros
Hombre,20898,18612,2286,3318,9966606.756677395,17.827208252740167,18.387460839684294,False,Inicio temprano (≤14)
Mujer,28858,23829,5029,2013,9974764.902754407,8.447689789751983,10.239586586827743,False,Inicio temprano (≤14)
Hombre,20898,1412,19486,654,732497.5664905801,46.317280453257794,45.24075709183361,False,Problema laboral (alcohol u otras)
Mujer,28858,999,27859,232,418117.3054665318,23.223223223223226,21.582133737579056,False,Problema laboral (alcohol u otras)
Hombre,20898,10121,10777,599,5334113.352748134,5.918387511115503,5.724393022161271,False,Alcohol en horario laboral
Mujer,28858,7220,21638,202,2991161.794351399,2.7977839335180055,2.737181465104107,False,Alcohol en horario laboral
Hombre,20898,1210,19688,75,632666.8361011761,6.198347107438017,5.7851232068831955,False,Ausencia por alcohol u otras
Mujer,28858,1434,27424,35,572637.8139016379,2.4407252440725244,1.7700282263290052,False,Ausencia por alcohol u otras
