grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,ventana
12–17,3559,3559,0,1642,3052407.999999999,46.13655521213824,46.300216625295405,False,Vida
18–25,8822,8822,0,7786,4315180.708982426,88.25663114939924,88.72083662895153,False,Vida
26–35,11341,11341,0,10400,5153800.066439215,91.70267172207036,92.46125998959089,False,Vida
36–45,9252,9252,0,8364,4365707.392484027,90.40207522697796,91.13853295503131,False,Vida
46–55,8445,8445,0,7347,3674846.1860448373,86.99822380106572,88.5974881912922,False,Vida
56–65,8337,8337,0,6902,3185420.6460494874,82.78757346767422,84.75188839844965,False,Vida
12–17,3559,3557,2,1112,3050467.8798733773,31.262299690750634,31.97898736529935,False,12 meses
18–25,8822,8818,4,5765,4314118.244149125,65.3776366523021,66.58359157451656,False,12 meses
26–35,11341,11329,12,7282,5149957.719075702,64.27751787448142,66.20639794214561,False,12 meses
36–45,9252,9242,10,5370,4358944.846472786,58.10430642718026,60.78482776956803,False,12 meses
46–55,8445,8436,9,3991,3670204.738556898,47.30915125651968,50.399218073265395,False,12 meses
56–65,8337,8322,15,2843,3179868.2924675597,34.16246094688777,37.60146810679565,False,12 meses
12–17,3559,3556,3,405,3047967.709370653,11.389201349831271,12.106412752373695,False,30 días
18–25,8822,8813,9,3329,4311656.206786929,37.773743333711565,38.80527941943358,False,30 días
26–35,11341,11326,15,4188,5149379.082590321,36.97686738477838,38.923937912005194,False,30 días
36–45,9252,9239,13,2955,4357005.35109162,31.983980950319296,33.66195514230678,False,30 días
46–55,8445,8435,10,2173,3670037.8721124954,25.76170717249555,27.43458727932874,False,30 días
56–65,8337,8321,16,1486,3177914.530029113,17.858430477106115,19.726998774606475,False,30 días
